studied_drug_id,new_drug_id,replacement_new_drug_id,recommendation_type
RE-MOL-0000007863,RE-MOL-0000028521,RE-MOL-0000012096,gnn
RE-MOL-0000575642,RE-MOL-0001495947,,gnn
RE-MOL-0000435288,RE-MOL-0001140916,,gnn
RE-MOL-0000006951,RE-MOL-0000584536,,gnn
RE-MOL-0000003872,RE-MOL-0001495720,,gnn
RE-MOL-0000061053,RE-MOL-0000295701,,baseline
RE-MOL-0000123129,RE-MOL-0000056173,,baseline
RE-MOL-0000575645,RE-MOL-0001376287,,baseline
RE-MOL-0000575386,RE-MOL-0000000818,,baseline
RE-MOL-0000042933,RE-MOL-0000369026,,baseline
RE-MOL-0000009357,RE-MOL-0000000882,,random
RE-MOL-0000005874,RE-MOL-0000023830,,random
RE-MOL-0000575640,RE-MOL-0000575290,,random
RE-MOL-0000239211,RE-MOL-0000023409,,random
RE-MOL-0000601377,RE-MOL-0000011134,,random
RE-MOL-0000347465,RE-MOL-0000019937,,random
RE-MOL-0000322518,RE-MOL-0000584631,,random
RE-MOL-0000004057,RE-MOL-0000011214,,random
RE-MOL-0000028829,RE-MOL-0000181396,RE-MOL-0000163985,random
RE-MOL-0000054539,RE-MOL-0001518809,,random
RE-MOL-0000535535,RE-MOL-0000014222,,random
RE-MOL-0000372549,RE-MOL-0000031117,,random
RE-MOL-0000327950,RE-MOL-0000096930,RE-MOL-0000003949,random
RE-MOL-0000006419,RE-MOL-0000001198,,random
RE-MOL-0000071515,RE-MOL-0000095318,,random
RE-MOL-0000216978,RE-MOL-0000334530,,random
RE-MOL-0000293904,RE-MOL-0000529917,,random
RE-MOL-0000012857,RE-MOL-0000023607,,random
RE-MOL-0000293455,RE-MOL-0000053414,,random
RE-MOL-0000005427,RE-MOL-0000043844,,random
